"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","265.0","","","","1"
"1998","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","265.0","","","","1"
"1999","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","260.0","","","","1"
"2000","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","270.0","","","","1"
"2001","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","172.0","","","","1"
"2002","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","280.0","","","","1"
"2003","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","265.0","","","","1"
"2004","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","275.0","","","","1"
"2005","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","275.0","","","","1"
"2006","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","310.0","","","","1"
"2007","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","285.0","","","","1"
"2008","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","280.0","","","","1"
"2009","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","300.0","","","","1"
"2010","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","300.0","","","","1"
"2011","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","285.0","","","","1"
"2012","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","290.1","","","","1"
"2013","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","301.7","","","","1"
"2014","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","298.0","","","","1"
"2015","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","291.3","","","","1"
"2016","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","296.7","","","","1"
"2017","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","294.0","","","","1"
"2018","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","285.4","","","","1"
"2019","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","289.3","","","","1"
"2020","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","251.5","","","","1"
"1990","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","170.0","","","","1"
"1991","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","190.0","","","","1"
"1992","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","250.0","","","","1"
"1993","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","220.0","","","","1"
"1994","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","200.0","","","","1"
"1995","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","210.0","","","","1"
"1996","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","205.1","","","","1"
"1997","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","190.0","","","","1"
"1998","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","205.0","","","","1"
"1999","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","210.0","","","","1"
"2000","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","240.0","","","","1"
"2001","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","150.0","","","","1"
"2002","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","220.0","","","","1"
"2003","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","215.0","","","","1"
"2004","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","235.0","","","","1"
"2005","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","215.0","","","","1"
"2006","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","210.0","","","","1"
"2007","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","225.0","","","","1"
"2008","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","260.0","","","","1"
"2009","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","265.0","","","","1"
"2010","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","235.0","","","","1"
"2011","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","230.0","","","","1"
"2012","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","220.0","","","","1"
"2013","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","237.0","","","","1"
"2014","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","282.2","","","","1"
"2015","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","275.0","","","","1"
"2016","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","270.0","","","","1"
"2017","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","270.0","","","","1"
"2018","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","260.8","","","","1"
"2019","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","260.1","","","","1"
"2020","Nova Scotia","2016A000212","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47153","4.2","250.0","","","","1"
"1990","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","260.0","","","","1"
"1991","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","215.0","","","","1"
"1992","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","285.0","","","","1"
"1993","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","260.0","","","","1"
"1994","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","250.0","","","","1"
"1995","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","220.0","","","","1"
"1996","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","270.0","","","","1"
"1997","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","260.0","","","","1"
"1998","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","265.0","","","","1"
"1999","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","250.0","","","","1"
"2000","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","255.0","","","","1"
"2001","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","250.0","","","","1"
"2002","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","260.0","","","","1"
"2003","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","255.0","","","","1"
"2004","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","285.0","","","","1"
"2005","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","260.0","","","","1"
"2006","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","300.0","","","","1"
"2007","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","290.0","","","","1"
"2008","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","260.0","","","","1"
"2009","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","270.0","","","","1"
"2010","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","295.0","","","","1"
"2011","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","245.0","","","","1"
"2012","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","287.3","","","","1"
"2013","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","291.6","","","","1"
"2014","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","300.6","","","","1"
"2015","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","318.2","","","","1"
"2016","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","305.0","","","","1"
"2017","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","293.8","","","","1"
"2018","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","307.3","","","","1"
"2019","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","310.6","","","","1"
"2020","New Brunswick","2016A000213","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47154","5.2","237.4","","","","1"
"1990","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","193.6","","","","1"
"1991","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","183.8","","","","1"
"1992","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","228.9","","","","1"
"1993","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","204.9","","","","1"
"1994","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","203.3","","","","1"
"1995","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","209.2","","","","1"
"1996","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","226.8","","","","1"
"1997","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","217.1","","","","1"
"1998","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","231.7","","","","1"
"1999","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","233.1","","","","1"
"2000","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","234.0","","","","1"
"2001","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","229.8","","","","1"
"2002","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","210.3","","","","1"
"2003","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","237.7","","","","1"
"2004","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","265.5","","","","1"
"2005","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","227.3","","","","1"
"2006","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","259.2","","","","1"
"2007","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","285.2","","","","1"
"2008","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","262.0","","","","1"
"2009","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","263.1","","","","1"
"2010","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","269.0","","","","1"
"2011","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","272.4","","","","1"
"2012","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","265.0","","","","1"
"2013","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","271.6","","","","1"
"2014","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","276.7","","","","1"
"2015","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","301.3","","","","1"
"2016","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","294.7","","","","1"
"2017","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","299.4","","","","1"
"2018","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","279.4","","","","1"
"2019","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","293.0","","","","1"
"2020","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","293.4","","","","1"
"1990","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","220.0","","","","1"
"1991","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","180.0","","","","1"
"1992","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","239.0","","","","1"
"1993","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","205.0","","","","1"
"1994","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","225.0","","","","1"
"1995","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","212.0","","","","1"
"1996","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","200.0","","","","1"
"1997","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","200.0","","","","1"
"1998","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","180.0","","","","1"
"1999","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","185.0","","","","1"
"2000","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","190.0","","","","1"
"2001","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","185.0","","","","1"
"2002","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","167.0","","","","1"
"2003","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","205.0","","","","1"
"2004","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","202.0","","","","1"
"2005","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","174.0","","","","1"
"2006","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","209.0","","","","1"
"2007","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","143.0","","","","1"
"2008","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","220.0","","","","1"
"2009","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","215.0","","","","1"
"2010","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","215.0","","","","1"
"2011","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","175.0","","","","1"
"2012","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","190.0","","","","1"
"2013","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","225.0","","","","1"
"2014","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","235.0","","","","1"
"2015","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","230.0","","","","1"
"2016","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","190.0","","","","1"
"2017","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","225.0","","","","1"
"2018","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","205.0","","","","1"
"2019","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","200.0","","","","1"
"2020","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","210.0","","","","1"
"1990","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","175.0","","","","1"
"1991","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","190.0","","","","1"
"1992","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","240.0","","","","1"
"1993","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","205.0","","","","1"
"1994","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"1995","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","205.0","","","","1"
"1996","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","245.0","","","","1"
"1997","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","230.0","","","","1"
"1998","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","235.0","","","","1"
"1999","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","225.0","","","","1"
"2000","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","250.0","","","","1"
"2001","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","234.0","","","","1"
"2002","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","220.0","","","","1"
"2003","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","245.0","","","","1"
"2004","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","245.0","","","","1"
"2005","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","210.0","","","","1"
"2006","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","270.0","","","","1"
"2007","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2008","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2009","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2010","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2011","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","250.0","","","","1"
"2012","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","275.0","","","","1"
"2013","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","310.0","","","","1"
"2014","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","308.1","","","","1"
"2015","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","322.8","","","","1"
"2016","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","350.0","","","","1"
