"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"458","1997-01-01","1005.10.00 - Maize (corn) seed (Terminated 1998-12)","Nova Scotia","The world","N/A",57002,63304,"Weight in kilograms",63304,9.86122490221917,1380.57148631068
"460","1997-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",28352,39621,"Weight in kilograms",39621,6.17198900307762,864.078460430867
"459","1990-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",867424,3487050,"Weight in kilograms",3487050,543.197654102164,76047.6715743029
"461","1999-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",44154,19000,"Weight in kilograms",19000,2.95973829682428,414.363361555399
"462","2004-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",1508,4616,"Weight in kilograms",4616,0.719060630428467,100.668488259985
"463","2008-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",3352,8360,"Weight in kilograms",8360,1.30228485060268,182.319879084376
"497","1994-01-01","1005.10.00 - Maize (corn) seed (Terminated 1998-12)","Nova Scotia","The world","N/A",778868,455514,"Weight in kilograms",455514,70.958012133664,9934.12169871296
"498","1988-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",6384,6384,"Weight in kilograms",6384,0.994472067732958,139.226089482614
"499","1996-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",101278,602659,"Weight in kilograms",602659,93.8796274855697,13143.1478479798
"607","1996-01-01","1005.10.00 - Maize (corn) seed (Terminated 1998-12)","Nova Scotia","The world","N/A",73732,37111,"Weight in kilograms",37111,5.78099199649715,809.338879509601
"500","2009-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",5357,12980,"Weight in kilograms",12980,2.02196858383048,283.075601736268
"536","2009-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",24,17,"Weight in kilograms",17,0.00264818689715857,0.370746165602199
"670","2009-01-01","1005.10.10 - Yellow dent corn seed","Nova Scotia","The world","N/A",441,133,"Weight in kilograms",133,0.02071816807777,2.9005435308878
"535","2010-01-01","1005.10.10 - Yellow dent corn seed","Nova Scotia","The world","N/A",204,95,"Weight in kilograms",95,0.0147986914841214,2.071816807777
"569","2010-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",7025,20962,"Weight in kilograms",20962,3.26537021989635,457.151830785488
"567","2002-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",95749,40824,"Weight in kilograms",40824,6.35938716997655,890.314203796717
"568","2003-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",444,1400,"Weight in kilograms",1400,0.218085979766,30.5320371672399
"608","1991-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",507,600,"Weight in kilograms",600,0.0934654198997141,13.08515878596
"609","2005-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",35,64,"Weight in kilograms",64,0.00996964478930284,1.3957502705024
"610","2006-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",237,809,"Weight in kilograms",809,0.126022541164781,17.6431557630694
"671","2001-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",31150,30618,"Weight in kilograms",30618,4.76954037748241,667.735652847538
"672","2007-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",6014,17737,"Weight in kilograms",17737,2.76299358793538,386.819102310954
"709","1989-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",35106,9771,"Weight in kilograms",9771,1.52208436306684,213.091810829358
"710","2000-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",98177,109680,"Weight in kilograms",109680,17.0854787576677,2391.96702607348
"1395","2017-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Nova Scotia","The world","N/A",456,240,"Weight in kilograms",240,NA,NA
"1483","2018-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Nova Scotia","The world","N/A",1310,109,"Weight in kilograms",109,NA,NA
"1520","2002-01-01","1207.99.00 - Oil seeds and oleaginous fruits, nes, whether or not broken (Terminated 2005-12)","Nova Scotia","The world","N/A",49856,48000,"Weight in kilograms",48000,NA,NA
"3199","2019-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",430404,548,"Weight in metric tonne",548000,18.5795173682245,2879.8251920748
"3226","2021-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",143501,198,"Weight in metric tonne",198000,7.65036903998247,1185.80720119728
"3229","2016-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",85229,229,"Weight in metric tonne",229000,7.47938588166952,1159.30481165878
"3230","2020-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",364120,553,"Weight in metric tonne",553000,19.5064996679839,3023.5074485375
"3249","2017-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",177337,340,"Weight in metric tonne",340000,11.1047650644875,1721.23858499556
"3309","2013-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",305453,589,"Weight in metric tonne",589000,21.9159938968162,3396.97905400651
"3328","2011-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",97163,235,"Weight in metric tonne",235000,9.010196206416,1396.58041199448
"3330","2014-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",91483,184,"Weight in metric tonne",184000,5.74983041234563,891.223713913573
"3331","2018-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",96454,113,"Weight in metric tonne",113000,3.82089478209033,592.238691224001
"3356","2012-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",52878,105,"Weight in metric tonne",105000,4.20882472698156,652.367832682141
"3357","2015-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",82852,171,"Weight in metric tonne",171000,5.48349735858169,849.942090580161
"3379","2001-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",65602,242,"Weight in metric tonne",242000,14.2271637120316,2205.2103753649
"3383","1999-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",41857,119,"Weight in metric tonne",119000,4.99714427901937,774.557363248003
"3384","2009-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",53927,154,"Weight in metric tonne",154000,5.12470734052597,794.329637781525
"3385","2003-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",462546,1081,"Weight in metric tonne",1081000,44.3385469134332,6872.47477158214
"3441","1991-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",1426324,4583,"Weight in metric tonne",4583000,212.711259109094,32970.2451619096
"3444","2000-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",40898,107,"Weight in metric tonne",107000,3.93157674893436,609.394396084826
"3446","2007-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",108671,337,"Weight in metric tonne",337000,13.2081382119963,2047.26142285943
"3494","1989-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",772328,2647,"Weight in metric tonne",2647000,102.275388125422,15852.6851594404
"3497","2002-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",71056,166,"Weight in metric tonne",166000,6.65395147313275,1031.36247833558
"3547","1988-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",280496,1162,"Weight in metric tonne",1162000,44.8976203255537,6959.13115046082
"3548","1993-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",1991072,7292,"Weight in metric tonne",7292000,292.292856277614,45305.3927230302
"3549","1997-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",262933,907,"Weight in metric tonne",907000,42.0966860161353,6524.98633250098
"3551","1994-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",128517,286,"Weight in metric tonne",286000,12.6104405629371,1954.61828725525
"3552","2010-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",241657,669,"Weight in metric tonne",669000,25.1045521101173,3891.20557706819
"3593","1990-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",3808494,10541,"Weight in metric tonne",10541000,546.798247527438,84753.7283667529
"3598","2008-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",191472,453,"Weight in metric tonne",453000,15.3645227945415,2381.50103315393
"3599","2005-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",98678,489,"Weight in metric tonne",489000,20.0569375029314,3108.82531295436
"3647","1998-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",263831,808,"Weight in metric tonne",808000,34.757755329535,5387.45207607793
"3698","1992-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",526789,2050,"Weight in metric tonne",2050000,72.311617214045,11208.300668177
"3752","1996-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",137513,430,"Weight in metric tonne",430000,18.4883016030487,2865.68674847255
"3754","1995-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",149869,368,"Weight in metric tonne",368000,15.4533537367994,2395.26982920391
"3755","2004-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",905174,1887,"Weight in metric tonne",1887000,70.8105976558915,10975.6426366632
"3756","2006-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",106507,218,"Weight in metric tonne",218000,9.15443237669095,1418.9370183871
