"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"3356","2012-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",52878,105,"Weight in metric tonne",105000,4.20882472698156,652.367832682141
"3357","2015-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",82852,171,"Weight in metric tonne",171000,5.48349735858169,849.942090580161
"3379","2001-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",65602,242,"Weight in metric tonne",242000,14.2271637120316,2205.2103753649
"3383","1999-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",41857,119,"Weight in metric tonne",119000,4.99714427901937,774.557363248003
"3384","2009-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",53927,154,"Weight in metric tonne",154000,5.12470734052597,794.329637781525
"3385","2003-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",462546,1081,"Weight in metric tonne",1081000,44.3385469134332,6872.47477158214
"3441","1991-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",1426324,4583,"Weight in metric tonne",4583000,212.711259109094,32970.2451619096
"3444","2000-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",40898,107,"Weight in metric tonne",107000,3.93157674893436,609.394396084826
"3446","2007-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",108671,337,"Weight in metric tonne",337000,13.2081382119963,2047.26142285943
"3494","1989-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",772328,2647,"Weight in metric tonne",2647000,102.275388125422,15852.6851594404
"3497","2002-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",71056,166,"Weight in metric tonne",166000,6.65395147313275,1031.36247833558
"3547","1988-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",280496,1162,"Weight in metric tonne",1162000,44.8976203255537,6959.13115046082
"3548","1993-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",1991072,7292,"Weight in metric tonne",7292000,292.292856277614,45305.3927230302
"3549","1997-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",262933,907,"Weight in metric tonne",907000,42.0966860161353,6524.98633250098
"3551","1994-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",128517,286,"Weight in metric tonne",286000,12.6104405629371,1954.61828725525
"3552","2010-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",241657,669,"Weight in metric tonne",669000,25.1045521101173,3891.20557706819
"3593","1990-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",3808494,10541,"Weight in metric tonne",10541000,546.798247527438,84753.7283667529
"3598","2008-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",191472,453,"Weight in metric tonne",453000,15.3645227945415,2381.50103315393
"3599","2005-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",98678,489,"Weight in metric tonne",489000,20.0569375029314,3108.82531295436
"3647","1998-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",263831,808,"Weight in metric tonne",808000,34.757755329535,5387.45207607793
"3698","1992-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",526789,2050,"Weight in metric tonne",2050000,72.311617214045,11208.300668177
"3752","1996-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",137513,430,"Weight in metric tonne",430000,18.4883016030487,2865.68674847255
"3754","1995-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",149869,368,"Weight in metric tonne",368000,15.4533537367994,2395.26982920391
"3755","2004-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",905174,1887,"Weight in metric tonne",1887000,70.8105976558915,10975.6426366632
"3756","2006-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",106507,218,"Weight in metric tonne",218000,9.15443237669095,1418.9370183871
